1802 10 24 -99  -99   -99 -99
1802 10 25 -99  -99   -99 -99
1802 10 26 -99  -99   -99 -99
1802 10 27 -99  -99   -99 -99
1802 10 28 -99  -99   -99 -99
1802 10 29   1  1.65   1   2
1802 10 30   2  2.97   2   4
1802 10 31   2  2.97   2   4
1802 11 01   2  2.97   2   4
1802 11 02 -99  -99   -99 -99
1802 11 03 -99  -99   -99 -99
1802 11 04   3  4.26   3   6
1802 11 05 -99  -99   -99 -99
1802 11 06 -99  -99   -99 -99
1802 11 07 -99  -99   -99 -99
1802 11 08 -99  -99   -99 -99
1802 11 09 -99  -99   -99 -99
1802 11 10   1  1.65   1   2
1802 11 11   2  2.97   2   4
1802 11 12   1  1.65   1   2
1802 11 13 -99  -99   -99 -99
1802 11 14 -99  -99   -99 -99
1802 11 15 -99  -99   -99 -99
1802 11 16 -99  -99   -99 -99
1802 11 17 -99  -99   -99 -99
1802 11 18 -99  -99   -99 -99
1802 11 19 -99  -99   -99 -99
1802 11 20   1  1.65   1   2
1802 11 21 -99  -99   -99 -99
1802 11 22 -99  -99   -99 -99
1802 11 23 -99  -99   -99 -99
1802 11 24 -99  -99   -99 -99
1802 11 25   0  0.34   0   1
1802 11 26 -99  -99   -99 -99
1802 11 27 -99  -99   -99 -99
1802 11 28 -99  -99   -99 -99
1802 11 29   0  0.34   0   1
1802 11 30   0  0.34   0   1
1802 11 31 -99  -99   -99 -99
1802 12 01 -99  -99   -99 -99
1802 12 02 -99  -99   -99 -99
1802 12 03 -99  -99   -99 -99
1802 12 04 -99  -99   -99 -99
1802 12 05 -99  -99   -99 -99
1802 12 06 -99  -99   -99 -99
1802 12 07   0  0.34   0   1
1802 12 08 -99  -99   -99 -99
1802 12 09 -99  -99   -99 -99
1802 12 10 -99  -99   -99 -99
1802 12 11 -99  -99   -99 -99
1802 12 12 -99  -99   -99 -99
1802 12 13 -99  -99   -99 -99
1802 12 14 -99  -99   -99 -99
1802 12 15 -99  -99   -99 -99
1802 12 16   0  0.34   0   1
1802 12 17 -99  -99   -99 -99
1802 12 18 -99  -99   -99 -99
1802 12 19 -99  -99   -99 -99
1802 12 20 -99  -99   -99 -99
1802 12 21 -99  -99   -99 -99
1802 12 22 -99  -99   -99 -99
1802 12 23 -99  -99   -99 -99
1802 12 24 -99  -99   -99 -99
1802 12 25 -99  -99   -99 -99
1802 12 26 -99  -99   -99 -99
1802 12 27 -99  -99   -99 -99
1802 12 28 -99  -99   -99 -99
1802 12 29 -99  -99   -99 -99
1802 12 30   0  0.34   0   1
1802 12 31   0  0.34   0   1
1803 01 01 -99  -99   -99 -99
1803 01 02 -99  -99   -99 -99
1803 01 03 -99  -99   -99 -99
1803 01 04 -99  -99   -99 -99
1803 01 05 -99  -99   -99 -99
1803 01 06 -99  -99   -99 -99
1803 01 07 -99  -99   -99 -99
1803 01 08 -99  -99   -99 -99
1803 01 09 -99  -99   -99 -99
1803 01 10 -99  -99   -99 -99
1803 01 11 -99  -99   -99 -99
1803 01 12 -99  -99   -99 -99
1803 01 13 -99  -99   -99 -99
1803 01 14   0  0.34   0   1
1803 01 15 -99  -99   -99 -99
1803 01 16   0  0.34   0   1
1803 01 17 -99  -99   -99 -99
1803 01 18 -99  -99   -99 -99
1803 01 19 -99  -99   -99 -99
1803 01 20 -99  -99   -99 -99
1803 01 21 -99  -99   -99 -99
1803 01 22 -99  -99   -99 -99
1803 01 23   0  0.34   0   1
1803 01 24 -99  -99   -99 -99
1803 01 25   0  0.34   0   1
1803 01 26   0  0.34   0   1
